Situation,Location,Date Reported,Incident/Case#,Date Occured,Time Occured,Summary,Disposition
"Medical Aid
","Scholars Drive South
","4/2/2024
","2404020009
","4/2/2024
","3:47 AM
","Subject has pain from prior scooter accident
","Referred to Other Agency ‐ San Diego Fire Department
"
"Medical Aid
","Regents Park Row
","4/2/2024
","2404020027
","4/2/2024
","9:22 AM
","Subject with chest pains
","Referred to Other Agency ‐ San Diego Fire Department
"
"Smoke Check
","Medical Center Drive
","4/2/2024
","2404020030
","4/2/2024
","10:01 AM
","Odor of something burning
","False Alarm
"
"Suspicious Circumstances
","Redwood Drive
","4/2/2024
","2024‐0660
","4/2/2024
","12:00 PM ‐ 5:00 PM
","Window screen was tampered with
","Report Taken
"
"Medical Aid
","Moores Cancer Center
","4/2/2024
","2404020034
","4/2/2024
","10:54 AM
","Medics requested
","Referred to Other Agency ‐ San Diego Fire Department
"
"Hit and Run ‐ No Injury Collision
","Parking Lot P760
","4/2/2024
","2404020041
","4/2/2024
","12:42 PM
",,"Information Only
"
"Citizen Contact
","UCSD Police Department
","4/2/2024
","2404020045
","4/2/2024
","1:40 AM
","Reporting party lives close to campus, requesting to speak with officer regarding students and
","Service Provided
"
"Medical Aid
","Moores Cancer Center
","4/2/2024
","2404020046
","4/2/2024
","1:51 PM
",,"Referred to Other Agency ‐ San Diego Fire Department
"
"Incomplete/ Accidental Wireless 911 Call
","Torrey Pines Scenic Park
","4/2/2024
","2404020049
","4/2/2024
","2:30 PM
",,"Logged Event
"
"Reckless Driving
","Regents Park Row
","4/2/2024
","2404020050
","4/2/2024
","2:49 PM
",,"Reckless to Other Agency ‐ San Diego Police Department
"
"Petty Theft ‐ Micro Mobility Device
","Center Hall
","4/2/2024
","2024‐0661
","4/2/2024
","12:20 PM ‐ 1:50 PM
","Secured electric bicycle stolen, loss $500.00
","Report Taken
"
"Medical Aid
","Goldberg Apartments
","4/2/2024
","2404020053
","4/2/2024
","3:40 PM
","Subject with abdominal pain
","Referred to Other Agency ‐ San Diego Fire Department
"
"Ticket Sign Off
","UCSD Police Department
","4/2/2024
","2404020055
","4/2/2024
","4:44 PM
",,"Service Provided
"
"Grand Theft
","Price Center East
","4/2/2024
","2024‐0662
","3/26/2024 ‐ 4/2/2024
","5:00 PM ‐ 4:00 PM
","Unknown suspect stole laptop from victim's desk, loss $1,400.00
","Report Taken
"
"Incomplete/ Accidental Wireless 911 Call
","Gilman Drive
","4/2/2024
","2404020057
","4/2/2024
","4:58 PM
",,"Logged Event
"
"Outside Agency Warrant ‐ Felony
","Trolley ‐ La Jolla Health Station
","4/2/2024
","2024‐0663
","4/2/2024
","5:47 PM ‐ 7:48 PM
","Subject originally contacted and detained for fare evasion by MTS Security
","Closed by Adult Arrest
"
"Welfare Check
","Mesa Apartments Central
","4/2/2024
","2404020060
","4/2/2024
","6:59 PM
","Unsupervised juveniles in front of apartments, looking into windows
","Service Provided
"
"Non‐Injury Collision
","Voigt Drive/ Greenhouse Lane
","4/2/2024
","2404020063
","4/2/2024
","7:24 PM
",,"Informational Only
"
"Noise Disturbance
","Africa Hall
","4/2/2024
","2404020064
","4/2/2024
","8:19 PM
","Loud music
","Referred to Student Conduct
"
