Vehicle,Location,Date Occured,Time Occured,Summary,Report Source
Electric Bicycle,"Center Hall
","4/2/2024
","12:20 PM ‐ 1:50 PM
","Secured electric bicycle stolen, loss $500.00
",UCPD Logs
Electric Scooter,"Sally T. Wongavery Library
","3/10/2024
","12:30 PM ‐ 4:00 PM
","Secured electric scooter stolen, loss $320.00
",UCPD Logs
Electric Scooter,"Trolley ‐ Central Campus Station
","3/10/2024
","10:13 PM
","Male non‐affiliate suspect contacted and found in possession of two stolen e‐scooters,
",UCPD Logs
Bicycle,"Conrad Prebys Music Center
","3/10/2024
","6:00 PM ‐ 10:15 PM
","Secured bicycle stolen, loss $168.00
",UCPD Logs
Electric Scooter,"Design & Innovation Building
","3/31/2024
","11:30 AM - 12:30 PM
","Secured electric scooter stolen, loss $300.00
",UCPD Logs
Electric Scooter,"Humanities & Social Sciences Building
","2/8/2024
","11:00 AM ‐ 12:20 PM
","Secured electric scooter stolen, loss $500.00
",UCPD Logs
Bicycle,"Price Center West ‐ The Trove
","2/8/2024 ‐ 2/9/2024
","7:00 PM ‐2:30 AM
","Secured bicycle stolen, loss $500.00
",UCPD Logs
Electric Scooter,"Trolley ‐ Central Campus Station
","2/9/2024
","3:00 PM ‐ 5:30 PM
","Secured electric scooter stolen, loss $750.00
",UCPD Logs
Electric Scooter,"Main Gym
","3/22/2024
","7:53 PM - 10:50 PM
","Secured electric scooter stolen, loss $700.00
",UCPD Logs
Electric Scooter,"Goldberg Apartments
","2/12/2024
","2:30 PM ‐ 8:30 PM
","Secured electric scooter stolen from bike cage, loss $506.41
",UCPD Logs
Bicycle,"Torrey Pines Center South ‐ Parking
","2/2/2024 ‐ 2/7/2024
","Unknown
","Secured bicycle stolen, loss $150.00
",UCPD Logs
Bicycle,"Artesa
","1/22/23‐1/23/23
","11:00 pm‐7:00 am
","Secured bicycle stolen, loss $300.00
",UCPD Logs
Electric Scooter,"Rita Atkinson Residences
","2/4/2024
","4:00 pm‐5:00 pm
","Secured electric scooter stolen, loss $400.00
",UCPD Logs
Electric Scooter,"RIMAC
","2/25/2024
","11:00 AM ‐ 5:45 PM
","Secured electric scooter stolen, loss $240.00
",UCPD Logs
Bicycle,"Discovery Way
","3/16/2024
","7:50 AM
","Unsecured bicycle stolen, loss $200.00
",UCPD Logs
Bicycle,"Mesa Apartments Central
","3/15/2024 ‐ 3/16/2024
","7:00 PM ‐ 9:00 AM
","Secured bicycle stolen, loss $1,100.00
",UCPD Logs
Bicycle,"Keeling Building
","3/15/2024 ‐ 3/16/2024
","1:30 PM ‐ 2:40 PM
","Secured bicycle stolen, loss $100.00
",UCPD Logs
Electric Scooter,"Geisel Library
","3/7/2024
","4:45 PM ‐ 9:30 PM
","Secured electric scooter stolen, loss $574.00
",UCPD Logs
Bicycle,"Trolley ‐ Central Campus Station
","3/29/2024
","2:30 AM
","Secured bicycle stolen, loss $700.00
",UCPD Logs
Electric Scooter,"Franklin Antonio Hall
","3/11/2024
","12:00 PM ‐ 6:20 PM
","Secured electric scooter stolen, loss $300.00
",UCPD Logs
Electric Scooter,"Rita Atkinson
","1/31/2024
","Unknown
","Reporting party believes they may have seen their stolen electric scooter on Offerup, theft not
",UCPD Logs
Electric Scooter,"Solis Hall
","2/15/2024
","08:00 AM ‐ 4:45 PM
","Secured electric scooter stolen, loss $500.00
",UCPD Logs
